papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
ANIM3,3.95,13.71,0.67,0.414,13.29,0.16,1.33,1.5,-0.34,5.25,3.66,27.6,6.42,2.06,12.75,4.91,34728600.0,2369750000.0,2.27,23.0,84.67
ALUP11,30.53,8.91,1.18,2.379,2.74,0.323,2.94,3.56,-0.8,6.73,6.33,66.83,45.93,2.15,10.36,13.26,29378800.0,8518980000.0,1.48,11.87,84.61
JHSF3,5.06,3.23,0.6,2.007,7.33,0.237,1.37,5.66,-0.96,11.01,9.81,35.46,61.62,2.1,4.81,18.55,21212300.0,5753280000.0,0.9,1.18,84.42
ALUP3,10.48,9.17,1.22,2.45,2.66,0.332,3.02,3.67,-0.82,6.83,6.43,66.83,45.93,2.15,10.36,13.26,92477.0,8518980000.0,1.48,11.87,84.37
REDE3,6.65,10.57,3.38,0.777,9.12,0.466,6.38,4.07,-0.88,7.87,6.23,19.08,10.06,1.38,13.45,31.93,8916.57,4157530000.0,3.88,9.06,84.33
ELET6,46.53,11.07,0.88,2.563,4.16,0.381,3.32,7.62,-1.04,10.47,8.11,33.65,23.15,2.29,5.66,7.98,69702200.0,121494000000.0,0.58,6.12,84.29
KLBN4,3.83,13.1,2.74,1.179,6.12,0.412,3.72,5.17,-0.71,11.65,5.94,22.82,10.13,1.96,9.58,20.94,9416550.0,8626520000.0,4.19,9.49,84.27
MELK3,3.53,13.37,0.67,0.722,30.2,0.293,0.59,11.44,1.1,11.43,10.77,6.31,11.46,2.78,3.06,5.03,1707820.0,1083040000.0,0.32,14.19,84.25
KLBN11,19.23,13.15,2.76,1.184,6.1,0.414,3.74,5.19,-0.72,11.67,5.95,22.82,10.13,1.96,9.58,20.94,108044000.0,8626520000.0,4.19,9.49,84.24
MRSA3B,28.95,7.08,1.26,1.386,0.0,0.478,5.04,4.1,-1.24,6.03,4.19,33.81,19.59,1.67,14.74,17.84,2878.52,7748660000.0,1.07,17.29,84.17
MRSA3B,28.95,7.08,1.26,1.386,0.0,0.478,5.04,4.1,-1.24,6.03,4.19,33.81,19.59,1.67,14.74,17.84,2878.52,7748660000.0,1.07,17.29,84.17
KLBN3,3.98,13.61,2.85,1.225,5.89,0.428,3.87,5.37,-0.74,11.85,6.04,22.82,10.13,1.96,9.58,20.94,2147590.0,8626520000.0,4.19,9.49,84.05
ENBR3,24.08,6.81,1.16,0.775,0.0,0.334,2.1,3.55,-2.04,5.92,4.92,21.81,12.36,1.44,10.62,17.02,0.0,12072800000.0,1.04,2.38,84.0
VTRU3,9.49,3.85,0.49,0.583,0.23,0.214,2.49,1.72,-0.54,4.22,3.26,33.91,15.15,2.15,14.15,12.68,4316020.0,2608610000.0,0.93,17.41,84.0
CYRE4,8.5,1.91,0.35,0.391,0.0,0.149,0.38,2.13,3.42,4.09,3.88,18.36,17.45,3.36,8.26,18.28,0.0,9350230000.0,0.64,18.59,83.91
ESCE3,1.72,1.7,0.56,0.182,0.0,0.108,0.22,0.97,0.95,4.28,3.49,18.85,10.71,2.2,13.48,32.82,0.0,1808650000.0,2.5,6.11,83.87
TCSL4,7.82,9.95,0.83,1.105,0.0,0.475,8.93,5.69,-2.2,5.61,2.18,19.44,11.11,1.34,9.67,8.33,0.0,22847800000.0,0.14,2.29,83.85
EVEN3,6.6,42.48,0.7,0.715,6.06,0.256,0.41,4.52,1.09,5.37,5.3,15.82,5.65,4.38,6.93,1.65,6381690.0,1885180000.0,0.59,2.75,83.83
WEGE4,16.1,10.79,3.18,1.688,0.0,1.718,6.49,7.64,8.42,7.36,6.7,22.11,16.43,1.71,29.21,29.42,0.0,21281600000.0,0.15,19.35,83.82
RANI4,5.5,4.09,0.93,0.791,0.0,0.358,1.41,3.47,-1.37,6.36,4.14,22.8,19.35,3.51,13.19,22.84,0.0,1412250000.0,1.25,7.14,83.75
FESA3,11.94,13.58,1.25,1.852,4.01,0.973,3.73,20.36,6.0,18.01,7.84,9.1,13.65,3.09,6.16,9.23,3694.36,3363440000.0,0.1,3.25,83.41
PORT3,17.49,13.49,2.81,2.527,7.61,1.185,57.28,8.35,-3.05,10.66,7.86,30.26,18.94,1.12,16.07,20.81,20909100.0,2747140000.0,0.99,4.93,83.23
PTPA3,76.5,3.69,1.14,0.505,0.0,0.375,2.28,3.63,-1.27,7.06,5.33,13.93,13.69,1.79,13.27,30.85,0.0,1201690000.0,1.59,18.08,83.22
VCPA4,26.01,4.72,1.02,0.789,0.0,0.353,3.76,2.01,-1.0,4.05,2.99,39.18,16.75,1.46,22.95,21.57,0.0,14149000000.0,1.46,22.71,83.22
JSLG3,6.32,8.8,1.01,0.195,6.65,0.144,1.02,1.73,-0.3,7.89,4.87,11.22,2.21,1.62,10.04,11.48,3834210.0,1791170000.0,4.64,55.51,83.22
