papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
MYPK3,12.04,8.21,0.43,0.118,5.91,0.121,0.68,1.79,-0.55,5.55,3.68,6.6,2.13,1.61,9.47,5.23,14405000.0,4306800000.0,1.35,9.93,77.7
AUTM3,19.7,20.0,1.9,0.709,0.0,0.547,4.08,6.78,-2.42,8.22,8.99,10.47,4.31,1.48,11.93,9.5,0.0,1304250000.0,0.97,28.21,77.67
ILMD3,29.0,15.73,2.63,0.683,0.0,1.395,5.7,14.13,7.53,13.13,13.13,4.84,4.92,1.6,12.52,16.69,0.0,658715000.0,0.02,0.65,77.57
AMPI3,55.0,12.41,2.74,0.247,0.0,0.177,5.68,0.98,-0.68,1.99,1.73,25.18,15.11,1.12,21.22,22.09,0.0,240799000.0,4.48,14.12,77.54
HBOR3,2.46,5.77,0.23,0.259,4.11,0.052,0.35,1.56,-0.29,8.64,7.55,16.57,12.99,1.61,3.47,3.91,2737770.0,1459720000.0,1.18,9.68,77.38
BRGE6,12.92,32.46,0.72,0.26765300000000003,4.36,0.318,0.83,-1.36,1.62,0.92,0.94,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,77.28
AZZA3,38.7,20.68,1.02,0.799,2.24,0.521,3.21,11.16,-16.41,14.14,8.18,7.16,3.85,1.55,5.68,4.95,83796900.0,7804360000.0,0.42,48.17,77.22
KSSA3,5.33,14.66,1.4,0.916,0.0,0.406,1.72,5.62,6.73,12.3,12.3,16.31,8.42,1.47,7.67,9.58,0.0,553026000.0,1.8,40.68,77.19
BRIT3,3.06,11.85,0.88,1.003,0.0,0.339,3.39,7.18,-1.03,12.58,4.16,13.96,8.45,1.54,6.52,7.44,0.0,1557890000.0,1.25,22.57,77.14
MGLU3,9.0,15.34,0.59,0.174,3.39,0.187,2.19,3.68,-1.08,5.27,3.03,4.73,1.14,1.2,7.25,3.82,310264000.0,11357900000.0,0.4,3.8,76.91
CMET4,3.91,8.1,5.38,3.068,0.0,3.136,9.47,5.72,27.2,5.34,5.34,53.63,43.03,2.64,81.4,66.4,0.0,2847970000.0,0.18,30.18,76.88
IGTA3,33.13,15.4,1.51,5.337,0.0,0.894,4.3,10.14,-6.71,11.65,11.65,52.64,34.67,4.11,11.33,9.81,0.0,3828610000.0,0.59,12.04,76.84
BRML3,8.26,10.59,0.57,4.285,0.0,0.34,7.6,6.45,-1.08,8.5,7.8,66.47,44.71,2.06,5.67,5.42,0.0,11794400000.0,0.3,14.5,76.74
ILMD4,30.0,16.28,2.72,0.707,0.0,1.443,5.89,14.62,7.79,13.62,13.62,4.84,4.92,1.6,12.52,16.69,0.0,658715000.0,0.02,0.65,76.72
ALOS3,21.67,13.65,0.88,4.286,3.64,0.442,4.57,8.86,-1.39,6.54,4.48,48.36,35.07,2.87,5.66,6.42,76387400.0,13432600000.0,0.0,42.66,76.59
MRSL4,3.05,9.48,0.91,0.816,0.0,0.609,2.19,15.08,5.8,16.51,8.83,5.41,8.69,2.78,4.44,9.63,0.0,375151000.0,0.16,7.1,76.21
TMGC7,800.01,12.68,1.63,1.164,0.0,1.12,6.77,17.85,11.96,16.52,16.52,6.52,9.18,1.69,8.73,12.83,0.0,1167010000.0,0.05,10.49,76.17
B3SA3,14.39,16.01,4.03,7.041,2.24,1.637,8.87,11.87,-6.67,11.93,11.24,59.3,43.97,2.13,20.28,25.18,567403000.0,18794600000.0,0.79,1.6,76.13
STBP11,14.4,3.14,4.1,0.792,0.0,0.47,424.2,1.84,-0.65,3.49,2.92,43.12,25.23,1.01,28.45,130.43,0.0,607731000.0,4.32,29.67,75.97
CTKA4,34.99,1.81,11.7,0.305,0.0,0.307,1.01,2.55,-0.96,6.92,5.62,11.94,16.86,1.87,15.78,647.44,20424.5,18555000.0,23.99,13.42,75.93
SMFT3,23.28,29.98,2.52,2.318,2.5,0.762,9.61,10.04,-1.63,12.2,5.87,23.09,7.79,1.53,9.34,8.39,179668000.0,5527220000.0,1.08,54.82,75.9
AFLU5,5.03,8.93,2.14,2.911,0.0,1.875,9.63,8.32,11.92,7.38,7.05,34.98,32.59,3.27,31.18,23.93,0.0,44270000.0,0.0,8.61,75.89
CTKA3,39.4,2.04,13.18,0.343,0.0,0.345,1.13,2.87,-1.08,7.24,5.88,11.94,16.86,1.87,15.78,647.44,580.69,18555000.0,23.99,13.42,75.84
NATU3,36.86,36.91,3.71,1.536,0.0,1.714,5.25,10.98,13.59,10.81,8.8,13.99,4.16,1.97,24.75,10.04,0.0,9154310000.0,0.27,4.07,75.68
PNVL3,8.74,13.49,1.05,0.264,3.94,0.414,1.55,7.99,-9.33,14.18,6.14,3.31,1.96,1.9,6.55,7.82,2972890.0,1245830000.0,0.98,15.22,75.62
AFLU3,5.15,9.15,2.19,2.981,0.0,1.919,9.86,8.52,12.21,7.57,7.24,34.98,32.59,3.27,31.18,23.93,0.0,44270000.0,0.0,8.61,75.58
HBRE3,3.43,9.98,0.17,2.071,0.0,0.069,1.94,1.24,-0.21,6.23,6.12,166.67,70.95,1.57,5.74,1.74,1215340.0,2040590000.0,0.77,22.13,75.4
CAML3,4.82,7.78,0.49,0.138,6.08,0.152,0.69,2.87,-1.17,7.95,5.47,4.79,1.77,1.64,8.05,6.28,8088210.0,3457320000.0,1.59,12.91,75.38
CORR3,12.0,0.04,0.06,0.834,0.0,0.017,0.03,-0.08,0.42,3.33,3.38,1057.66,2141.14,4.25,85.44,152.84,0.0,4665000.0,0.0,42.09,75.19
WEST3,4.33,-2.45,0.22,0.3,0.0,0.161,0.42,-1.1,0.51,1.2,2.0,27.2,12.23,2.91,27.52,8.86,26916.0,221569000.0,0.05,12.53,75.07
MRSL3,3.3,10.25,0.99,0.883,0.0,0.658,2.37,16.32,6.28,17.74,9.5,5.41,8.69,2.78,4.44,9.63,0.0,375151000.0,0.16,7.1,75.04
ALLL11,16.5,-4.29,0.42,0.445,0.0,0.119,1.2,1.08,-0.24,3.4,1.69,41.11,10.28,1.9,13.27,9.78,0.0,14598900000.0,1.44,18.1,75.0
ALLL3,3.97,-5.16,0.5,0.535,0.0,0.143,1.45,1.3,-0.28,3.62,1.8,41.11,10.28,1.9,13.27,9.78,0.0,14598900000.0,1.44,18.1,75.0
ALLL4,3.32,-4.31,0.42,0.448,0.0,0.12,1.21,1.09,-0.24,3.41,1.7,41.11,10.28,1.9,13.27,9.78,0.0,14598900000.0,1.44,18.1,75.0
UGPA4,27.1,13.35,1.99,0.222,0.0,0.801,4.82,5.72,-4.15,8.05,6.52,3.87,1.78,1.76,16.79,14.9,0.0,15195500000.0,0.99,11.02,74.97
BRGE7,13.07,32.83,0.73,0.27076,2.51,0.322,0.84,-1.38,1.63,0.9,0.92,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,74.95
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,10.08,6.98,2.04,5.77,5.6,0.0,2415400000.0,0.3,20.9,74.47
BRGE11,13.18,33.11,0.73,0.273039,2.14,0.325,0.85,-1.39,1.65,0.89,0.91,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,74.34
TMGC11,9.0,14.26,1.83,1.309,0.0,1.26,7.62,20.08,13.46,18.75,18.75,6.52,9.18,1.69,8.73,12.83,0.0,1167010000.0,0.05,10.49,74.18
LREN4,1.05,0.09,0.01,0.008,0.0,0.006,0.03,0.04,0.05,-0.35,-0.25,21.43,8.65,1.67,20.56,12.45,0.0,10265800000.0,0.04,17.31,74.13
EMBR3,67.13,22.49,2.71,1.33,0.1,0.74,5.69,12.98,-4.4,14.01,10.24,10.24,5.97,1.32,7.29,12.07,334020000.0,18314200000.0,0.64,13.38,74.12
STBP3,13.62,14.85,19.37,3.747,19.91,2.222,2006.13,8.69,-3.07,10.35,8.64,43.12,25.23,1.01,28.45,130.43,70070800.0,607731000.0,4.32,29.67,73.96
TIET11,17.44,6.09,3.13,3.01,0.0,0.638,1434.52,5.02,-1.05,8.78,6.62,59.93,49.91,1.0,13.97,51.45,0.0,2222740000.0,2.67,7.76,73.95
CBAV3,4.68,16.86,0.71,0.346,0.0,0.228,1.68,4.2,-0.65,8.59,4.46,8.23,3.3,1.77,6.46,4.22,29340500.0,4280660000.0,0.94,2.03,73.95
TIET3,3.49,6.09,3.13,3.012,0.0,0.638,1435.34,5.03,-1.05,8.78,6.63,59.93,49.91,1.0,13.97,51.45,0.0,2222740000.0,2.67,7.76,73.94
TIET4,3.51,6.13,3.15,3.029,0.0,0.642,1443.57,5.06,-1.05,8.81,6.65,59.93,49.91,1.0,13.97,51.45,0.0,2222740000.0,2.67,7.76,73.91
BRGE8,13.17,33.08,0.73,0.272832,1.78,0.324,0.85,-1.39,1.65,0.89,0.91,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,73.78
DXCO3,5.45,17.35,0.65,0.545,0.99,0.249,3.42,5.7,-0.74,12.11,4.77,9.57,3.27,1.37,5.11,3.75,16048000.0,6872730000.0,0.95,3.61,73.43
EMAE4,30.65,17.0,0.92,1.836,2.74,0.526,2.41,14.34,-3.9,10.97,9.69,12.8,10.8,3.91,4.2,5.41,179597.0,1231320000.0,0.0,7.44,73.37
JOPA3,22.0,11.62,0.39,0.106,2.88,0.102,0.32,2.38,1.75,7.91,6.95,4.48,1.16,1.82,6.4,3.33,1469.86,602064000.0,1.99,6.02,73.06
MRFG3,24.84,7.56,7.57,0.136,12.05,0.157,2.36,3.23,-0.33,9.81,4.66,4.21,2.64,1.22,6.99,100.15,164946000.0,2816470000.0,22.57,21.59,73.01
TMGC13,966.14,15.31,1.96,1.406,0.0,1.353,8.18,21.56,14.45,20.23,20.23,6.52,9.18,1.69,8.73,12.83,0.0,1167010000.0,0.05,10.49,72.97
JOPA4,24.0,12.67,0.42,0.116,2.9,0.112,0.34,2.59,1.91,8.12,7.14,4.48,1.16,1.82,6.4,3.33,0.0,602064000.0,1.99,6.02,72.77
PALF11,1.25,0.08,0.03,0.007,0.0,0.005,-0.06,0.04,-0.01,2.83,2.83,19.15,8.72,0.76,15.38,39.11,0.0,3446700000.0,2.58,4.86,72.75
MAGS3,62.45,24.49,3.13,2.217,0.0,2.12,4.9,15.02,6.65,14.19,14.19,14.76,8.91,3.06,18.74,12.78,0.0,848546000.0,0.13,10.05,72.63
MTBR4,1.05,1.76,0.58,0.12,0.0,0.157,3.72,1.36,-4.11,-0.16,-0.13,8.79,6.81,1.07,38.92,32.67,0.0,2738890000.0,0.41,5.97,72.45
MTBR3,0.99,1.66,0.54,0.113,0.0,0.148,3.51,1.29,-3.87,-0.24,-0.19,8.79,6.81,1.07,38.92,32.67,0.0,2738890000.0,0.41,5.97,72.45
ASAI3,10.05,16.45,2.52,0.181,1.07,0.304,16.78,2.47,-0.58,4.64,3.56,7.31,1.1,1.05,19.03,15.34,123172000.0,5385000000.0,3.03,23.61,72.44
PALF5,236.6,0.15,0.06,0.013,0.0,0.01,-0.12,0.07,-0.02,2.86,2.86,19.15,8.72,0.76,15.38,39.11,0.0,3446700000.0,2.58,4.86,72.38
EBCO4,1.0,11.46,0.8,0.33,0.0,0.351,50.21,8.51,-14.31,8.26,8.26,3.88,2.9,1.01,5.04,7.0,0.0,828097000.0,0.02,6.09,72.38
ONCO3,5.2,-4.22,1.13,0.541,0.0,0.313,1.81,6.14,-1.0,13.07,8.15,8.81,13.88,1.81,6.73,26.78,12918100.0,2995770000.0,1.82,28.74,72.35
SUZB3,52.96,-70.21,1.74,1.353,3.81,0.431,3.14,4.7,-0.81,9.94,5.9,28.76,1.85,2.61,10.69,2.48,303320000.0,38398300000.0,2.37,7.81,72.26
PALF3,279.9,0.18,0.07,0.016,0.0,0.011,-0.14,0.08,-0.02,2.88,2.88,19.15,8.72,0.76,15.38,39.11,0.0,3446700000.0,2.58,4.86,72.25
LOGG3,21.63,5.07,0.52,8.59,9.03,0.282,13.62,11.92,-0.88,23.95,23.04,72.06,169.71,1.18,2.42,10.2,4775700.0,3672920000.0,0.55,12.24,72.23
TPRC3,113.5,0.14,0.01,0.016,0.0,0.007,0.13,0.08,-0.03,0.01,0.0,19.44,11.11,1.34,9.67,8.33,0.0,22847800000.0,0.14,2.29,72.16
EBCO3,1.05,12.03,0.84,0.346,0.0,0.368,52.72,8.94,-15.02,8.68,8.68,3.88,2.9,1.01,5.04,7.0,0.0,828097000.0,0.02,6.09,72.09
ELET5,75.0,17.84,1.42,4.132,0.0,0.614,5.35,12.28,-1.68,15.13,11.72,33.65,23.15,2.29,5.66,7.98,0.0,121494000000.0,0.58,6.12,71.78
PNOR6,1.87,-2.9,0.55,0.354,0.0,0.205,0.7,8.52,-2.32,4.57,4.57,4.15,11.74,2.5,3.61,18.84,0.0,158071000.0,0.42,1.34,71.73
PNOR5,1.87,-2.9,0.55,0.354,0.0,0.205,0.7,8.52,-2.32,4.57,4.57,4.15,11.74,2.5,3.61,18.84,0.0,158071000.0,0.42,1.34,71.73
COCE5,25.82,5.41,0.39,0.238,5.23,0.135,-0.58,1.65,-0.3,6.14,3.95,14.39,4.4,0.48,9.03,7.19,283916.0,5174440000.0,1.11,6.71,71.58
COCE3,25.6,5.36,0.39,0.236,5.28,0.133,-0.58,1.64,-0.3,6.13,3.94,14.39,4.4,0.48,9.03,7.19,1330.0,5174440000.0,1.11,6.71,71.58
REAG3,3.8,14.52,0.66,3.174,0.0,0.617,0.67,-10.16,0.68,5.26,7.19,31.23,21.86,16.47,155.93,4.53,25695.5,293687000.0,0.0,1.74,71.53
MYPK4,31.79,21.68,1.13,0.312,0.0,0.319,1.8,4.72,-1.45,8.48,5.63,6.6,2.13,1.61,9.47,5.23,0.0,4306800000.0,1.35,9.93,71.52
LUXM3,10.0,11.39,2.65,3.073,0.0,1.875,43.79,22.07,-12.93,22.1,11.74,13.93,26.99,1.41,9.55,23.24,0.0,157085000.0,0.12,5.01,71.42
TOTS3,42.5,32.43,5.31,4.684,1.42,2.933,14.45,12.71,-39.05,12.56,10.74,36.84,14.83,2.52,30.78,16.37,131644000.0,4799780000.0,0.34,18.23,71.36
CRFB3,8.45,9.19,0.85,0.152,1.12,0.183,2545.91,3.76,-0.67,7.89,5.71,4.04,1.82,1.0,6.37,9.21,269937000.0,21042000000.0,1.19,13.44,71.16
CRTP3,86.5,22.26,2.38,2.435,0.0,1.57,5.55,19.63,8.19,18.02,18.02,12.4,10.94,2.14,12.36,10.68,0.0,1210570000.0,0.12,10.11,71.13
HYPE3,24.45,19.15,1.32,2.313,3.98,0.637,12.65,16.21,-2.31,24.12,18.5,14.26,11.96,1.26,4.3,6.89,71159300.0,11738300000.0,0.79,11.3,71.1
TSEP4,29.01,23.97,1.3,1.282,0.0,0.906,3.8,14.82,4.43,12.29,12.29,8.65,5.35,1.88,9.1,5.43,0.0,2047020000.0,0.0,4.5,71.1
BRGE5,13.18,33.11,0.73,0.273039,0.0,0.325,0.85,-1.39,1.65,0.89,0.91,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,71.0
BRGE12,13.47,33.84,0.75,0.27904700000000005,0.0,0.332,0.87,-1.42,1.68,0.86,0.88,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,70.96
BRGE3,13.5,33.91,0.75,0.279668,0.0,0.333,0.87,-1.42,1.69,0.86,0.87,19636.9,1381.29,3.06,50.03,2.21,0.0,1324180000.0,0.0,45.61,70.92
LJQQ3,3.08,-7.08,1.12,0.219,3.96,0.175,0.72,8.22,-1.17,10.54,3.71,2.66,3.09,1.54,2.64,15.84,10248700.0,536003000.0,0.93,10.94,70.9
BMKS3,3.75,11.32,0.83,10.892,8.83,0.719,0.98,-33.74,1.13,-1.33,-1.36,32.28,96.22,20.54,7.38,7.29,20089.2,206593000.0,0.02,8.51,70.89
AURA33,39.82,-16.25,10.77,2.46,2.65,1.322,30.33,6.17,-2.26,7.27,7.27,39.9,15.14,1.17,29.18,66.27,11769400.0,803132000.0,3.34,11.47,70.88
ETER3,4.37,9.72,0.34,0.229,2.87,0.207,1.24,12.79,22.04,18.08,5.17,1.79,2.36,1.72,1.78,3.49,419859.0,795309000.0,0.17,6.88,70.87
SMLS3,22.4,10.78,4.09,4.212,0.0,1.017,18.78,10.37,-6.72,10.13,9.06,40.62,39.07,1.1,10.69,37.96,0.0,679678000.0,0.0,22.2,70.79
PETZ3,4.48,-50.91,1.25,0.613,6.43,0.537,3.73,11.89,-2.48,12.43,4.15,5.15,1.2,1.68,5.58,2.45,28026100.0,1658800000.0,0.27,20.25,70.51
ALPA3,8.98,31.37,1.51,1.437,1.08,0.961,3.64,20.92,7.7,20.22,10.84,6.87,4.57,2.17,6.06,4.83,78332.0,4051630000.0,0.22,3.38,70.45
RAIL3,18.06,-23.46,2.29,2.435,0.0,0.651,6.58,5.92,-1.29,8.24,4.1,41.11,10.28,1.9,13.27,9.78,222372000.0,14598900000.0,1.44,18.1,70.44
KRSA3,8.87,-2.79,0.96,0.303,0.0,0.143,1.1,2.94,-0.26,15.07,8.63,10.32,10.85,1.84,5.54,34.27,204406.0,717552000.0,4.25,13.37,70.39
GBIO33,10.4,-14.97,1.32,1.518,0.0,0.791,7.57,13.53,17.58,16.06,16.06,11.21,10.14,1.31,7.12,8.83,0.0,838439000.0,0.31,8.99,70.34
ALPA4,9.08,31.72,1.53,1.453,1.17,0.972,3.68,21.16,7.78,20.45,10.97,6.87,4.57,2.17,6.06,4.83,19648000.0,4051630000.0,0.22,3.38,70.33
BRTP4,20.81,-39.19,1.43,0.681,0.0,0.399,5.23,3.51,-1.4,5.03,5.03,19.37,2.96,1.29,13.41,3.64,0.0,5302340000.0,0.91,3.66,70.28
SCAR3,17.2,-34.47,0.65,2.162,10.15,0.36,1.92,8.34,-1.92,16.64,11.42,25.92,6.17,3.95,4.61,1.88,1016560.0,1533970000.0,0.76,23.25,70.25
TMCP3,56.0,18.58,1.38,1.525,0.0,0.937,3.85,24.25,4.74,19.68,19.68,6.29,9.75,2.3,5.54,7.44,0.0,1798930000.0,0.03,10.49,69.97
BRBI11,15.12,8.47,1.99,4.326,13.29,0.103,2.5,74.66,2.5,21.21,14.76,5.8,51.05,1.04,12.41,23.53,4093340.0,796079000.0,17.75,20.29,69.85
BOAS3,7.95,15.22,1.83,4.929,0.0,1.699,3.34,25.6,3.54,18.69,8.52,19.25,32.39,12.37,12.76,12.04,0.0,2298770000.0,0.0,10.99,69.76
ODER4,100.0,27.32,2.05,1.533,0.88,0.992,2.0,17.07,5.11,21.24,17.08,8.98,5.61,3.33,7.01,7.5,0.0,550684000.0,0.78,4.92,69.72
TUPY3,18.93,-63.81,0.82,0.259,8.17,0.255,0.7,3.22,-4.98,6.23,4.25,8.03,0.42,2.33,11.44,1.29,20165000.0,3314060000.0,1.28,21.64,69.15
TMCP4,58.2,19.31,1.44,1.585,0.0,0.973,4.0,25.21,4.92,20.63,20.63,6.29,9.75,2.3,5.54,7.44,0.0,1798930000.0,0.03,10.49,69.1
CBEE3,10.0,5.5,0.45,0.423,4.19,0.191,-1.45,3.27,-0.53,7.03,4.04,12.92,7.69,0.62,6.39,8.14,212.48,8493750000.0,0.55,5.49,69.09
CEPE5,40.12,24.74,1.75,0.37,0.0,0.215,103.22,2.29,-0.33,8.16,6.1,16.15,1.5,1.01,10.26,7.07,0.0,1711000000.0,4.78,2.23,68.83
CESP5,25.0,7.82,1.09,5.633,0.0,0.595,5.02,22.43,-2.09,27.62,12.89,25.12,72.05,3.32,3.13,13.95,0.0,7992040000.0,0.51,2.66,68.8
ENEV3,14.17,56.2,1.43,1.983,0.0,0.502,7.33,8.96,-1.18,13.68,8.44,22.15,6.89,1.53,6.33,2.55,135950000.0,19137700000.0,1.0,42.75,68.78
LAME4,6.55,20.99,1.89,0.476,0.0,0.282,1.19,7.32,-4.32,11.24,5.46,6.51,2.51,1.72,6.53,9.02,0.0,6514640000.0,2.54,9.72,68.76
ELPL4,15.98,2.67,0.53,0.152,0.0,0.107,-0.71,0.99,-0.19,3.74,2.77,15.38,5.69,0.6,12.5,19.68,0.0,6004320000.0,1.64,4.27,68.72
CORR4,82.0,0.27,0.41,5.701,0.0,0.118,0.2,-0.54,2.84,2.87,2.91,1057.66,2141.14,4.25,85.44,152.84,0.0,4665000.0,0.0,42.09,68.7
POSI3,4.93,239.08,0.43,0.205,5.55,0.166,0.5,3.1,4.18,6.52,5.09,6.62,0.24,2.03,6.99,0.18,7249610.0,1607650000.0,0.77,7.83,68.7
CESP6,25.25,7.9,1.1,5.689,0.0,0.601,5.07,22.65,-2.11,27.84,13.0,25.12,72.05,3.32,3.13,13.95,0.0,7992040000.0,0.51,2.66,68.7
LAME3,6.62,21.22,1.91,0.481,0.0,0.285,1.2,7.4,-4.37,11.32,5.49,6.51,2.51,1.72,6.53,9.02,0.0,6514640000.0,2.54,9.72,68.62
CESP3,25.55,7.99,1.11,5.757,0.0,0.608,5.13,22.92,-2.14,28.11,13.12,25.12,72.05,3.32,3.13,13.95,0.0,7992040000.0,0.51,2.66,68.58
EBEN4,17.51,0.96,0.55,0.107,0.0,0.083,-0.65,0.51,-0.15,3.31,2.8,20.95,11.1,0.69,18.31,57.06,0.0,1245220000.0,3.33,4.86,68.5
CREM4,48.0,0.11,0.01,0.002,0.0,0.002,0.02,0.03,-0.02,3.55,2.09,8.05,2.1,1.29,11.36,7.5,0.0,189701000.0,1.58,0.27,68.26
BAUH4,80.89,15.79,3.24,1.649,1.53,2.225,9.42,21.36,10.1,19.1,14.96,7.72,10.44,1.79,17.91,20.51,3451.36,130425000.0,0.0,9.1,68.25
CEPE6,43.0,26.52,1.88,0.397,0.0,0.231,110.63,2.46,-0.36,8.32,6.23,16.15,1.5,1.01,10.26,7.07,0.0,1711000000.0,4.78,2.23,68.2
BRTP3,35.71,-67.26,2.45,1.168,0.0,0.684,8.98,6.03,-2.4,7.55,7.55,19.37,2.96,1.29,13.41,3.64,0.0,5302340000.0,0.91,3.66,67.85
DMVF3,5.3,10.75,0.3,0.119,0.0,0.146,6.35,4.24,-0.74,4.3,1.47,2.82,1.11,1.08,4.38,2.78,535718.0,896843000.0,0.04,23.04,67.8
DASA3,1.7,-1.88,0.27,0.138,0.0,0.075,0.43,1.98,-0.21,10.4,4.57,6.97,7.34,1.92,4.61,14.55,1345400.0,7813960000.0,1.61,17.11,67.69
MRVE3,5.07,-4.12,0.48,0.304,0.0,0.099,0.69,2.83,-0.32,11.58,9.68,10.75,7.21,1.47,3.68,11.55,66603200.0,5996120000.0,1.56,7.53,67.62
ESPA3,1.12,46.51,0.47,0.391,0.15,0.176,1.18,2.72,-1.1,7.01,4.4,14.38,0.79,1.48,7.23,1.0,576106.0,867856000.0,0.98,17.06,67.53
ATED3,1.87,-8.82,2.1,1.427,0.0,1.696,3.92,24.05,4.27,23.65,14.42,5.93,11.11,6.45,7.83,23.79,100054.0,21223000.0,0.06,0.0,67.52
CREM3,14.5,32.69,2.45,0.685,0.0,0.67,4.89,8.52,-5.41,12.04,7.07,8.05,2.1,1.29,11.36,7.5,0.0,189701000.0,1.58,0.27,67.52
TVIT3,19.3,23.46,5.45,1.705,0.0,2.424,175.42,16.02,-12.72,17.14,17.14,10.64,7.27,1.04,17.58,23.24,0.0,314984000.0,0.56,0.0,67.49
CCTU4,37.28,7.65,0.92,0.307,0.0,0.405,2.29,14.56,-28.32,21.77,21.77,2.1,4.0,1.48,2.96,12.07,0.0,82550000.0,0.48,12.54,67.18
SUZB5,21.13,-28.01,0.7,0.54,0.0,0.172,1.25,1.88,-0.32,7.12,4.23,28.76,1.85,2.61,10.69,2.48,0.0,38398300000.0,2.37,7.81,67.16
SUZB6,17.88,-23.71,0.59,0.457,0.0,0.146,1.06,1.59,-0.27,6.83,4.05,28.76,1.85,2.61,10.69,2.48,0.0,38398300000.0,2.37,7.81,67.16
CIEL3,5.83,11.01,1.72,2.682,0.0,0.132,3.44,32.19,-82.31,21.34,10.63,8.33,24.36,1.04,5.62,15.59,0.0,9226870000.0,0.82,7.54,67.02
USIM5,5.33,47.53,0.28,0.252,0.0,0.164,0.48,7.12,1.45,8.45,3.65,3.54,1.15,4.26,2.98,0.58,67396200.0,24175800000.0,0.32,3.76,66.98
USIM3,5.25,46.81,0.27,0.248,0.0,0.161,0.47,7.01,1.43,8.35,3.6,3.54,1.15,4.26,2.98,0.58,1680240.0,24175800000.0,0.32,3.76,66.94
ENAT3,21.64,10.21,1.28,2.588,0.0,0.452,1.3,29.02,-2.52,31.98,4.64,8.92,25.34,3.9,2.94,12.53,0.0,4487040000.0,1.33,16.27,66.89
LWSA3,3.82,66.1,0.79,1.538,1.88,0.538,11.08,17.5,30.58,14.28,6.85,8.79,2.33,1.17,3.53,1.19,32888000.0,2736470000.0,0.03,25.55,66.65
OPCT3,5.88,-50.94,1.24,0.696,0.0,0.403,3.07,5.12,-1.16,10.36,4.75,13.6,1.37,1.67,9.57,2.44,2127660.0,944915000.0,1.72,28.57,66.56
SULT4,0.43,0.05,0.01,0.027,0.0,0.003,-0.01,0.72,0.0,1.25,1.21,3.7,56.88,0.3,0.35,19.81,0.0,585754000.0,0.01,21.26,66.22
MPLU3,26.8,12.2,17.37,6.877,0.0,2.676,50.65,10.34,66.01,7.71,7.28,66.52,56.37,1.06,129.57,142.4,0.0,250279000.0,0.0,18.88,66.22
SULT3,0.56,0.06,0.01,0.035,0.0,0.003,-0.02,0.93,-0.01,1.47,1.41,3.7,56.88,0.3,0.35,19.81,0.0,585754000.0,0.01,21.26,66.16
ELMD3,31.05,39.8,4.54,3.561,0.62,1.396,10.25,13.56,-4.5,16.0,11.66,26.26,11.44,1.76,13.8,11.4,4672980.0,983781000.0,1.45,52.68,66.15
JALL3,4.32,-37.81,0.65,0.6,1.57,0.178,0.68,2.59,-0.51,9.27,3.06,23.16,1.59,3.3,8.41,1.72,1903090.0,2017030000.0,2.26,13.65,66.05
UOLL4,19.62,43.52,2.35,2.054,0.0,1.403,457.14,15.14,-12.83,16.49,16.49,13.56,4.69,1.01,10.57,5.4,0.0,1003690000.0,0.23,21.99,66.05
MMAQ4,25.500100000000003,2.28,0.33,0.073,24.28,0.163,0.51,-7.78,0.53,-7.15,-24.66,0.94,3.21,1.64,3.48,14.45,0.0,286268000.0,0.23,21.96,65.98
GPIV33,3.86,-1.4,0.19,-3.966,0.0,0.098,1.03,-1.82,-3.71,0.46,0.46,217.73,574.59,2.74,6.24,13.84,34925.9,1347650000.0,0.03,9.75,65.92
NGRD3,26.36,-7.73,0.54,0.875,0.0,0.403,1.83,-8.55,3.57,-4.29,4.21,10.23,11.31,2.54,6.57,6.96,619831.0,447975000.0,0.04,5.15,65.88
TPRC6,1.05,0.13,0.01,0.015,0.0,0.006,0.12,0.08,-0.03,0.0,0.0,19.44,11.11,1.34,9.67,8.33,0.0,22847800000.0,0.14,2.29,65.85
ELCA4,20.2,32.11,10.25,2.359,0.0,1.417,19.38,12.36,-2.68,16.17,12.8,19.08,10.06,1.38,13.45,31.93,0.0,4157530000.0,3.88,9.06,65.7
PRNR3,16.46,74.07,2.24,0.614,0.31,0.544,1.98,7.89,-2.98,11.08,7.02,7.78,2.31,1.96,9.61,3.02,4123450.0,343979000.0,1.95,48.8,65.69
CEED3,8.9,-1.28,-0.17,0.108,0.0,0.074,2.0,1.02,-0.07,9.38,7.3,10.61,8.45,1.13,8.67,13.14,664.36,-3617840000.0,-1.58,8.84,65.6
